Bar Dip,Chest
Bench Press,Chest
Cable Chest Press,Chest
Close-Grip Bench Press,Chest
Decline Bench Press,Chest
Dumbbell Chest Fly,Chest
Dumbbell Chest Press,Chest
Dumbbell Floor Press,Chest
Dumbbell Pullover,Chest
Floor Press,Chest
Incline Bench Press,Chest
Incline Dumbbell Press,Chest
Incline Push-Up,Chest
Machine Chest Fly,Chest
Machine Chest Press,Chest
Pec Deck,Chest
Push-Up,Chest
Push-Up Against Wall,Chest
Resistance Band Chest Fly,Chest
Smith Machine Bench Press,Chest
Smith Machine Incline Bench Press,Chest
Standing Cable Chest Fly,Chest
Band External Shoulder Rotation,Shoulder
Band Internal Shoulder Rotation,Shoulder
Band Pull-Apart,Shoulder
Barbell Front Raise,Shoulder
Barbell Rear Delt Row,Shoulder
Barbell Upright Row,Shoulder
Behind the Neck Press,Shoulder
Cable Lateral Raise,Shoulder
Cable Rear Delt Row,Shoulder
Dumbbell Front Raise,Shoulder
Dumbbell Horizontal Internal Shoulder Rotation,Shoulder
Dumbbell Horizontal External Shoulder Rotation,Shoulder
Dumbbell Lateral Raise,Shoulder
Dumbbell Rear Delt Row,Shoulder
Dumbbell Shoulder Press,Shoulder
Face Pull,Shoulder
Lying Dumbbell External Shoulder Rotation,Shoulder
Lying Dumbbell Internal Shoulder Rotation,Shoulder
Machine Lateral Raise,Shoulder
Machine Shoulder Press,Shoulder
Monkey Row,Shoulder
Overhead Press,Shoulder
Power Jerk,Shoulder
Push Press,Shoulder
Reverse Dumbbell Flyes,Shoulder
Reverse Machine Fly,Shoulder
Seated Dumbbell Shoulder Press,Shoulder
Seated Barbell Overhead Press,Shoulder
Seated Smith Machine Shoulder Press,Shoulder
Snatch Grip Behind the Neck Press,Shoulder
Squat Jerk,Shoulder
Split Jerk,Shoulder
Barbell Curl,Biceps
Barbell Preacher Curl,Biceps
Cable Curl With Bar,Biceps
Cable Curl With Rope,Biceps
Concentration Curl,Biceps
Dumbbell Curl,Biceps
Dumbbell Preacher Curl,Biceps
Hammer Curl,Biceps
Incline Dumbbell Curl,Biceps
Spider Curl,Biceps
Barbell Standing Triceps Extension,Triceps
Barbell Lying Triceps Extension,Triceps
Bench Dip,Triceps
Close-Grip Push-Up,Triceps
Dumbbell Lying Triceps Extension,Triceps
Dumbbell Standing Triceps Extension,Triceps
Overhead Cable Triceps Extension,Triceps
Tricep Pushdown With Bar,Triceps
Tricep Pushdown With Rope,Triceps
Air Squat,Quads
Barbell Hack Squat,Quads
Barbell Lunge,Quads
Body Weight Lunge,Quads
Box Squat,Quads
Bulgarian Split Squat,Quads
Dumbbell Lunge,Quads
Dumbbell Squat,Quads
Front Squat,Quads
Goblet Squat,Quads
Hack Squat Machine,Quads
Half Air Squat,Quads
Hip Adduction Machine,Abductor
Leg Extension,Quads
Leg Press,Hamstring
Lying Leg Curl,Hamstring
Pause Squat,Quads
Safety Bar Squat,Quads
Seated Leg Curl,Hamstring
Smith Machine Squat,Quads
Squat,Quads
Step Up,Quads
Back Extension,Back
Barbell Row,Back
Barbell Shrug,Back
Block Snatch,Back
Cable Close Grip Seated Row,Back
Cable Wide Grip Seated Row,Back
Chin-Up,Back
Clean,Back
Clean and Jerk,Back
Deadlift,Back
Deficit Deadlift,Back
Dumbbell Deadlift,Back
Dumbbell Romanian Deadlift,Back
Dumbbell Row,Back
Dumbbell Shrug,Back
Floor Back Extension,Back
Good Morning,Back
Hang Clean,Back
Hang Power Clean,Back
Hang Power Snatch,Back
Hang Snatch,Back
Inverted Row,Back
Inverted Row with Underhand Grip,Back
Kettlebell Swing,Back
Lat Pulldown With Pronated Grip,Back
Lat Pulldown With Supinated Grip,Back
One-Handed Cable Row,Back
One-Handed Lat Pulldown,Back
Pause Deadlift,Back
Pendlay Row,Back
Power Clean,Back
Power Snatch,Back
Pull-Up,Back
Rack Pull,Back
Romanian Deadlift,Back
Seal Row,Back
Seated Machine Row,Back
Snatch,Back
Snatch Grip Deadlift,Back
Stiff-Legged Deadlift,Back
Straight Arm Lat Pulldown,Back
Sumo Deadlift,Back
T-Bar Row,Back
Trap Bar Deadlift With High Handles,Back
Trap Bar Deadlift With Low Handles,Back
Banded Side Kicks,Glutes
Cable Pull Through,Glutes
Clamshells,Glutes
Fire Hydrants,Glutes
Glute Bridge,Glutes
Hip Abduction Against Band,Glutes
Hip Abduction Machine,Glutes
Hip Thrust,Glutes
Hip Thrust Machine,Glutes
Hip Thrust With Band Around Knees,Glutes
Lateral Walk With Band,Glutes
One-Legged Glute Bridge,Glutes
One-Legged Hip Thrust,Glutes
Step Up,Glutes
Cable Crunch,Abs
Crunch,Abs
Hanging Leg Raise,Abs
Hanging Knee Raise,Abs
Hanging Sit-Up,Abs
High to Low Wood Chop with Band,Abs
Horizontal Wood Chop with Band,Abs
Kneeling Ab Wheel Roll-Out,Abs
Kneeling Plank,Abs
Kneeling Side Plank,Abs
Lying Leg Raise,Abs
Lying Windshield Wiper,Abs
Lying Windshield Wiper with Bent Knees,Abs
Machine Crunch,Abs
Oblique Crunch,Abs
Oblique Sit-Up,Abs
Plank,Abs
Side Plank,Abs
Sit-Up,Abs
Calves Exercise,Abs
Eccentric Heel Drop,Abs
Heel Raise,Calvs
Seated calv Raise,Calvs
Standing calv Raise,Calvs
Barbell Wrist Curl,Forearm
Barbell Wrist Curl Behind the Back,Forearm
Bar Hang,Forearm
Dumbbell Wrist Curl,Forearm
Farmers Walk,Forearm
Fat Bar Deadlift,Forearm
Gripper,Forearm
One-Handed Bar Hang,Forearm
Plate Pinch,Forearm
Plate Wrist Curl,Forearm
Towel Pull-Up,Forearm
Barbell Wrist Extension,Forearm
Dumbbell Wrist Extension,Forearm
